Estabelecimento;CNES;Endereço;CEP;Horário;Sala Vacina;Farmácia;Coleta de Material;Região Administrativa
UBS 6 ARAPOANGA PLANALTINA;5050340;QUADRA 06 CONJUNTO I AREA ESPECIAL 3;73368656;De Segunda a Sexta das 07:00 às 18:00;NÃO;NÃO;NÃO;ARAPOANGA
UBS 2 - ITAPOA;3286959;AREA ESPECIAL ENTRE QUADRA 61/ 318;71591500;De Segunda a Sexta das 07:00 às 17:00;NÃO;SIM;NÃO;ITAPOA
UBS 2 - QUADRA 18 - PARANOA;3286975;QUADRA 18 AE;71571800;De Segunda a Sexta das 07:00 às 17:00;SIM;NÃO;SIM;PARANOA
UBS 11 RAJADINHA PLANALTINA;0011576;NUCLEO RURAL RAJADINHA II RUA 2 LOTE 16/17;73370992;De Segunda a Sexta das 07:00 às 17:00;SIM;SIM;SIM;PLANALTINA
UBS 14 CONDOMINIO PRIVE CEILANDIA;3677044;CONDOMINIO PRIVE LUCENA RORIZ , MODULO 12 LOTE;72268000;De Segunda a Sexta das 07:00 às 18:00;NÃO;NÃO;SIM;CEILANDIA
UBS 5 GRANJA DO TORTO;5117666;VILA WESLIAN RORIZ AREA ESPECIAL;70636003;De Segunda a Sexta das 07:00 às 17:00;SIM;NÃO;NÃO;LAGO NORTE
UBS 1 PLANALTINA;5167817;QUADRA 18 CONJUNTO H AREA ESPECIAL;73356040;De Segunda a Sexta das 07:00 às 18:00;SIM;SIM;SIM;PLANALTINA
UBS 05 RECANTO DAS EMAS;7059892;QUADRA 804 CONJUNTO 20B LOTE 01;72650760;De Segunda a Sexta das 07:00 às 18:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;RECANTO DAS EMAS
UBS 2 SOBRADINHO;0011231;QUADRA 3 AREA ESPECIAL ENTRE CONJUNTOS D/E;73030030;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;SOBRADINHO
UBS 4 PLANALTINA;6216013;ESTANCIA NOVA PLANALTINA QD 02 RUA A AREA ESPECIAL;73401012;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;PLANALTINA
UBS 5 PLANALTINA;6216021;QUADRA 12 CONJUNTO D AREA ESPECIAL;73368384;De Segunda a Sexta das 07:00 às 19:00;SIM;SIM;SIM;ARAPOANGA
UBS 5 BASEVI SOBRADINHO;6770657;VILA BASEVI AREA ESPECIAL 01 LOTE;73100715;De Segunda a Sexta das 07:00 às 17:00;SIM;SIM;SIM;SOBRADINHO II
UBS 4 SETOR DE MANSOES SOBRADINHO II;6770665;COND MINI CHACARAS QMS 30 AREA ESPECIAL;73081430;De Segunda a Sexta das 07:00 às 17:00;SIM;NÃO;NÃO;SOBRADINHO II
UBS 3 VALE DOS PINHEIROS SOBRADINHO II;6770681;COND VALE DOS PINHEIROS QD 45 A CONJUNTO A LOTE;73080360;De Segunda a Sexta das 07:00 às 17:00;SIM;NÃO;NÃO;SOBRADINHO II
UBS 8 TORRE DE BRAZLANDIA;9571280;RADIOBRAS CHACARA ST. HELENA CAPELA RURAL OESTE;72710990;De Segunda a Sexta das 07:00 às 17:00;NÃO;NÃO;SIM;BRAZLANDIA
UBS 7 - CAFE SEM TROCO - PARANOA;7075596;DF 270 KM 2 FAZENDA SANTO ANTONIO;71570990;De Segunda a Sexta das 07:00 às 17:00;SIM;SIM;SIM;PARANOA
UBS 18 CAIC BERNARDO SAYAO;9643338;QNN 28 LOTES H I J K GUARIROBA;72220280;De Segunda a Sexta das 07:00 às 18:00;NÃO;NÃO;SIM;CEILANDIA
UBS 02 NUCLEO BANDEIRANTE;7236778;RUA 02 AREA ESPECIAL ENTRE LOTE 01/02;71730000;De Segunda a Sexta das 07:00 às 17:00;NÃO;NÃO;NÃO;NUCLEO BANDEIRANTE
UBS 1 CEILANDIA;7347715;EQNP 7/11SETOR P NORTE;72240540;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;CEILANDIA
